Training Center,Contact Info,Website,Training Director
Wichita Electrical JATC,"; 810 West 13th Street N; 
        ; Wichita, KS 67203; 
        ; Phone: 316-264-9231; 
        ; Fax: 316-264-9281; 
    ; Website: ; http://www.wejatc.org;",http://www.wejatc.org,"; T.D.  Naylor; 
        ; tnaylor@wejatc.org;"
Southwestern Line AJATC,"; 915 Bosque Farms Blvd; 
        ; Bosque Farms, NM 87068; 
        ; Phone: 505-222-5070; 
        ; Fax: 505-222-5071; 
    ; Website: ; http://www.swlcat.org;",http://www.swlcat.org,"; Justin Archibeque; 
        ; justin@swlcat.org;"
Louisville Electrical JATC,"; 4315 Preston Highway, Suite 100; 
        ; Louisville, KY 40213; 
        ; Phone: 502-581-9210; 
        ; Fax: 502-581-9237; 
    ; Website: ; http://www.loujatc.com;",http://www.loujatc.com,"; Robert Shelton; 
        ; rshelton@loujatc.com;"
Owensboro Elec. JATC Trust,"; 2911 West Parrish Avenue; 
        ; Owensboro, KY 42301; 
        ; Phone: 270-684-3058; 
        ; Fax: 270-684-4255;",,"; Jason Sharp; 
        ; jasonsharp1987@gmail.com;"
Paducah JATC,"; P.O. Box 3085; 
        ; Paducah, KY 42002; 
        ; Phone: 270-575-9646; 
        ; Fax: 270-575-9647; 
    ; Website: ; http://www.padjatc.org;",http://www.padjatc.org,"; Jarrod Shadowen; 
        ; jarrod.shadowen@padjatc.com;"
Alexandria Electrical JATC,"; 6703 Masonic Drive; 
        ; Alexandria, LA 71301; 
        ; Phone: 318-443-5811; 
        ; Fax: 318-443-5874;",,"; Landry Ducote; 
        ; jatc576@bellsouth.net;"
Baton Rouge Area Electrical JATC,"; 13456 Jefferson Highway; 
        ; Baton Rouge, LA 70817; 
        ; Phone: 225-752-4861; 
        ; Fax: 225-752-4838;",,"; Darryl McGaha; 
        ; mcgaha@brejatc.org;"
Bogalusa Electrical JATC,"; 501 Commerce Point; 
        ; New Orleans, LA 70123; 
        ; Phone: 504-733-9370; 
        ; Fax: 504-416-7233;",,"; Shawn Martinez; 
        ; smartinez@solaneca.org;"
Lake Charles Elec. JATC,"; P.O. Box 18072; 
        ; Lake Charles, LA 70616; 
        ; Phone: 337-433-7277; 
        ; Fax: 337-433-0875;",,"; Steve Gaspard; 
        ; lcjatc@hotmail.com;"
Monroe Electrical JATC,"; 901 Hudson Lane; 
        ; Monroe, LA 71201; 
        ; Phone: 318-387-4411; 
        ; Fax: 318-387-4412;",,"; Matt Green; 
        ; monroe.eta446@gmail.com;"
New Orleans Electrical JATC,"; 3200 Ridgelake Drive #301; 
        ; Metairie, LA 70002; 
        ; Phone: 504-835-9899; 
        ; Fax: 504-835-7873; 
    ; Website: ; http://www.ibewlu130.com  ;",http://www.ibewlu130.com,"; David Crumb; 
        ; drc@noejatc.org;"
Shreveport Area Electrical JATC,"; 1013 B Gould Drive; 
        ; Bossier City, LA 71111; 
        ; Phone: 318-746-6180; 
        ; Fax: 318-746-6183;",,"; James Brent Moreland; 
        ; brent@ibew194.com;"
IBEW LU 115 Apprenticeship,"; 40 Binnington Court; 
        ; Kingston, ON K7M 8S3; 
        ; Phone: 613-547-4115; 
        ; Fax: 613-547-1678;",,"; Bill Dodge; 
        ; beate@ibew115.com;"
Boston Elec. JATC,"; 194 Freeport Street; 
        ; Dorchester, MA 02122; 
        ; Phone: 617-436-0980; 
        ; Fax: 617-436-1081; 
    ; Website: ; http://www.bostonjatc.org;",http://www.bostonjatc.org,"; Jerome DeMello; 
        ; jerome.demello@bostonjatc.org;"
Brockton Electricians JATC,"; 475 Myles Standish Blvd; 
        ; Taunton, MA 02780; 
        ; Phone: 508-880-2693; 
        ; Fax: 508-880-2694;",,"; Robert Revil; 
        ; brevil@ibew223.org;"
Springfield JATC,"; 95 Liberty Street, Suite 1; 
        ; Springfield, MA 01103; 
        ; Phone: 413-737-2253; 
        ; Fax: 413-788-5824;",,"; Paul Gour; 
        ; td@local7jatc.org;"
Worcester Electricians JATC,"; 242 Mill Street; 
        ; Worcester, MA 01602; 
        ; Phone: 508-753-8635; 
        ; Fax: 508-754-8944;",,"; Christopher M. Beauchesne; 
        ; chris@ibewlocal96.org;"
Baltimore Electrical JATC,"; 2699 West Patapsco Avenue; 
        ; Baltimore, MD 21230; 
        ; Phone: 410-247-3313; 
        ; Fax: 410-247-3638;",,"; Neil Wilford; 
        ; nwilford@jatc24.org;"
Western Maryland JATC,"; 307 E Offutt Street, P.O. Box 122; 
        ; Cumberland, MD 21502; 
        ; Phone: 301-724-5282; 
        ; Fax: 301-777-0627;",,"; Edward Crowe; 
        ; wmjatc@atlanticbbn.net;"
UTILITIES,"; United States; 
        ; All, XX 00000; 
        ; Phone: 999-999-9999; 
        ; Fax: 999-999-9999;",,"; null null; 
        ; no-replay@electricaltrainingalliance.org;"
electrical training ALLIANCE,"; 5001 Howerton Way Suite N; 
        ; Bowie, MD 20715; 
        ; Phone: 301-715-2300; 
        ; Fax: 301-715-2301;",,"; null null; 
        ; support@electricaltrainingalliance.org;"
Augusta Electrical JATC,"; 176 Main Street; 
        ; Fairfield, ME 04937; 
        ; Phone: 207-453-0135; 
        ; Fax: 207-453-1303;",,"; George Howe; 
        ; george@ibew1253.org;"
Portland JATC,"; 238 Goddard Road, P.O. Box 1289; 
        ; Lewiston, ME 04240; 
        ; Phone: 207-786-9770; 
        ; Fax: 207-786-9773;",,"; Justin Whalsh; 
        ; jwalsh@ibew567.com;"
Ann Arbor Electrical JATC,"; 13400 Luick Drive; 
        ; Chelsea, MI 48118; 
        ; Phone: 734-475-1180; 
        ; Fax: 734-475-1209; 
    ; Website: ; http://www.aaejatc.org ;",http://www.aaejatc.org,"; John Salyer; 
        ; jsalyer@aaejatc.org;"
Battle Creek Electrical JATC,"; 405 Hill Brady Road; 
        ; Battle Creek, MI 49037; 
        ; Phone: 269-300-8002; 
        ; Fax: 269-660-0711;",,"; Dave Wilson; 
        ; trainingdirector@bcejatc.com;"
Bay City JATC,"; 1206 W. Thomas; 
        ; Bay City, MI 48706; 
        ; Phone: 989-686-4890; 
        ; Fax: 989-686-5416;",,"; Casey Stoike; 
        ; cstoike@ibew692.org;"
Detroit JATC,"; 2277 E. 11 Mile Road Suite 1; 
        ; Warren, MI 48092; 
        ; Phone: 586-751-6600; 
        ; Fax: 586-751-6699;",,"; Joseph Scott; 
        ; joe.scott@detroiteitc.org;"
Escanaba JATC,"; 304 Avenue A; 
        ; Gwinn, MI 49841; 
        ; Phone: 906-786-1773; 
        ; Fax: 906-786-0277;",,"; Jeff Demarse; 
        ; debbie09161961@yahoo.com;"
Flint Electrical JATC,"; 5209 Exchange Drive; 
        ; Flint, MI 48507; 
        ; Phone: 810-720-0583; 
        ; Fax: 810-720-0584; 
    ; Website: ; info@fsejatc.com;",info@fsejatc.com,"; Lee Lattimore; 
        ; info@fsejatc.com;"
IBEW Local 219/Iron Mountain Elec. JATC,"; 304 Avenue A; 
        ; Gwinn, MI 49841; 
        ; Phone: 906-779-1505; 
        ; Fax: 906-779-9966;",,"; Sue  Nanninga; 
        ; ibew219@att.net;"
Kalamazoo Electrical JATC,"; 4371 W. U Ave; 
        ; Schoolcraft, MI 49087; 
        ; Phone: 269-388-4434; 
        ; Fax: 269-388-9044;",,"; Tony Gaudio; 
        ; director@kalamazoojatc.com;"
Lansing Electrical JATC,"; 411 N. Grand Ave; 
        ; Lansing, MI 48893; 
        ; Phone: 517-483-9688; 
        ; Fax: 517-483-9696;",,"; Dale Goerge; 
        ; dale@lejatc.org;"
Marquette JATC,"; 304 Avenue A; 
        ; Gwinn, MI 49841; 
        ; Phone: 906-226-7497; 
        ; Fax: 906-225-0821;",,"; Randy Ruppel; 
        ; ibewlu1070@gmail.com;"
West Michigan Electrical JATC,"; 140 N. 64th Avenue; 
        ; Coopersville, MI 49404; 
        ; Phone: 616-837-7149; 
        ; Fax: 616-837-9258; 
    ; Website: ; https://www.wmejatc.org/;",https://www.wmejatc.org/,"; David  Kitchen; 
        ; wmjatc@gmail.com;"
Saginaw Electrical JATC,"; 7303 Gratiot Road; 
        ; Saginaw, MI 48609; 
        ; Phone: 989-781-1079; 
        ; Fax: 989-781-1311;",,"; Richard Mason; 
        ; fsjatc.rick@sbcglobal.net;"
Traverse City Electrical JATC,"; 3912 Blair Townhall Road West; 
        ; Traverse City, MI 49684; 
        ; Phone: 231-943-4193; 
        ; Fax: 231-943-4193;",,"; Tim Babcock; 
        ; tcjatc@local498.net;"
Duluth JATC,"; 2230 London Road Suite 200; 
        ; Duluth, MN 55812; 
        ; Phone: 218-722-8115; 
        ; Fax: 218-722-6816;",,"; Derrick L. Atkins; 
        ; director@twinportsneca.com;"
Iron Range Electrical JATC,"; 2230 London Road 2230 London Road Suite 200; 
        ; Duluth, MN 55802; 
        ; Phone: 218-722-8115; 
        ; Fax: 218-722-6816;",,"; Derrick L. Atkins; 
        ; director@twinportsneca.com;"
South Central Minnesota JATC,"; 9 -80th St SE; 
        ; Rochester, MN 55904; 
        ; Phone: 507-529-7721; 
        ; Fax: 507-529-7721; 
    ; Website: ; http://www.scmnjatc.org ;",http://www.scmnjatc.org,"; Michael Bambrick Jr.; 
        ; mbambrick@scmnjatc.org;"
Minneapolis Electrical JATC,"; 13100 Frankfort Parkway; 
        ; St. Michael, MN 55376; 
        ; Phone: 763-497-0072; 
        ; Fax: 763-497-0076; 
    ; Website: ; http://www.mplsjatc.org ;",http://www.mplsjatc.org,"; Trevor Turek; 
        ; tturek@mplsjatc.org;"
Minnesota State Wide Limited Energy JATC,"; 452 Northco Drive; 
        ; Fridley, MN 55432; 
        ; Phone: 763-571-5922; 
        ; Fax: 763-571-5928;",,"; David Dressler; 
        ; ddressler@statewidelea.org;"
St. Paul Electrical JATC,"; 1330 Conway Street, Suite 150; 
        ; St. Paul, MN 55106; 
        ; Phone: 651-390-5282; 
        ; Fax: null; 
    ; Website: ; www.jatc110.org;",www.jatc110.org,"; Timothy J. Garcia; 
        ; jatcstaff@jatc110.org;"
Local 350 JATC,"; P.O. Box 2223; 
        ; St. Louis, MO 63109; 
        ; Phone: 314-644-3030; 
        ; Fax: 314-644-5507;",,"; Jill Clark; 
        ; jill@stlneca.org;"
Jefferson City Elec. JATC,"; 209 Flora Drive; 
        ; Jefferson City, MO 65101; 
        ; Phone: 573-635-2145; 
        ; Fax: 573-635-0496;",,"; Mike Sweeten; 
        ; jatc257@embarqmail.com;"
Joplin JATC,"; 3302 S. Main ; 
        ; Joplin, MO 64804; 
        ; Phone: 417-624-2499; 
        ; Fax: 417-624-3783;",,"; Scott  Simonds; 
        ; scottlocal95@gmail.com;"
Kansas City JATC,"; 303 E. 103rd Terrace; 
        ; Kansas City, MO 64114; 
        ; Phone: 816-942-3242; 
        ; Fax: 816-942-0854;",,"; Shon D. Lee; 
        ; slee@kcjatc124.org;"
Springfield MO & Vicinity Elec. JATC,"; 2902 E Division; 
        ; Springfield, MO 65803; 
        ; Phone: 417-869-7251; 
        ; Fax: 417-869-1814;",,"; Bryan Hensley; 
        ; 453jatc@gmail.com;"
St. Joseph Electrical JATC,"; 742 S. 6th Street; 
        ; St. Joseph, MO 64501; 
        ; Phone: 816-232-8090; 
        ; Fax: 816-232-8292;",,"; Travis VanSchoiack; 
        ; 545jatc@sbcglobal.net;"
St. Louis Electricians JATC,"; 2300 Hampton Avenue, Suite A; 
        ; St. Louis, MO 63139; 
        ; Phone: 314-644-3587; 
        ; Fax: 314-644-3589;",,"; Shawn Levin; 
        ; shawnl@stlejatcjatc.org;"
Corinth-Tupelo Miss. JATC,"; P.O. Box 1027, 105 N. Madison Street; 
        ; Corinth, MS 38835; 
        ; Phone: 662-286-2897; 
        ; Fax: 662-287-5959;",,"; Tony L. Johnson; 
        ; ibewlocal852@bellsouth.net;"
Local Union 903 IBEW/JATC,"; 2417 32nd Street, P.O. Drawer L; 
        ; Gulfport, MS 39502; 
        ; Phone: 228-863-9881; 
        ; Fax: 228-863-9900;",,"; Neil T. Cumberland; 
        ; neil@lu903.com;"
Jackson JATC,"; P.O. Box 721077; 
        ; Byram, MS 39272; 
        ; Phone: 601-372-4650; 
        ; Fax: 601-373-9410;",,"; Clinton Jim Stephens; 
        ; jatc-jackson@msn.com;"
Meridian Area Electricians JATC,"; P.O. Box 964; 
        ; Meridian, MS 39302; 
        ; Phone: 601-483-0486; 
        ; Fax: 601-485-4225;",,"; Jim Miles; 
        ; jim@ibew917.com;"
MT Electrical JATC,"; 2616 BozemanAve; 
        ; Helena, MT 59601; 
        ; Phone: 406-449-7173; 
        ; Fax: 406-449-7149; 
    ; Website: ; http://www.mtelectricaljatc.org;",http://www.mtelectricaljatc.org,"; Chris McGowan; 
        ; cmcgowan@mt.net;"
"LU 233, IBEW","; P.O. Box 4177, 2616 Bozeman Avenue; 
        ; Helena, MT 59604; 
        ; Phone: 406-449-7173; 
        ; Fax: 406-449-7149;",,"; Mark  Maki; 
        ; jatcdirector@mt.net;"
LU 768 IBEW,"; P.O. Box 4177, 2616 Bozeman Avenue; 
        ; Helena, MT 59604; 
        ; Phone: 406-449-7173; 
        ; Fax: 406-449-7149;",,"; Mark  Maki; 
        ; jatcdirector@mt.net;"
LU 238 IBEW-NC2000,"; 46 New Leicester Hwy; 
        ; Asheville, NC 28806; 
        ; Phone: 828-505-0216; 
        ; Fax: 828-505-2326;",,"; Willie J. Moore III; 
        ; local238jatc@gmail.com;"
Charlotte Electrical JATC,"; 13530 South Ridge Dr; 
        ; Charlotte, NC 28273; 
        ; Phone: 704-523-7001; 
        ; Fax: null;",,"; Denise Schnell; 
        ; denise@carolinaseti.com;"
Raleigh Durham Electrical JATC,"; 201 West Main  #201; 
        ; Durham, NC 27701; 
        ; Phone: 919-596-6931; 
        ; Fax: 919-596-8701;",,"; Carey Rongitsch; 
        ; crongitsch@raldurjatc.org;"
Carolinas Electrical JATC,"; 2725 Old Wrightsboro Road Unit 3C; 
        ; Wilmington, NC 28405; 
        ; Phone: 910-660-8630; 
        ; Fax: 910-660-8768;",,"; Brandy Warwick; 
        ; brandy@awjatc.org;"
Carolinas Electrical JATC-342,"; 7874 Thorndike Road; 
        ; Greensboro, NC 27409; 
        ; Phone: 336-285-9439; 
        ; Fax: 336-285-7783;",,"; Brandy Warwick; 
        ; brandy@awjatc.org;"
Dakotas & Western MN Areawide JATC,"; 2901 1st Avenue North; 
        ; Fargo, ND 58102; 
        ; Phone: 701-297-5934; 
        ; Fax: 701-293-1301;",,"; Adam Kidwell; 
        ; adamk@dakotasjatc.org;"
Dakotas Electrical JATC,"; 2901 1st Avenue North; 
        ; Fargo, ND 58102; 
        ; Phone: 701-297-5934; 
        ; Fax: 701-293-1301;",,"; Adam Kidwell; 
        ; adamk@dakotasjatc.org;"
Greater Nebraska Electrical JATC,"; 2304 13th St; 
        ; Columbus, NE 68601; 
        ; Phone: 402-562-5546; 
        ; Fax: 402-562-5546;",,"; Sean Martys; 
        ; gnjatc@neneca.com;"
Lincoln Electrical JATC,"; 1415 Old Farm Road; 
        ; Lincoln, NE 68512; 
        ; Phone: 402-423-4519; 
        ; Fax: 402-423-4506;",,"; Roy  Lamb; 
        ; roy.lamb@ibew265.org;"
Omaha Electrical Joint Apprenticeship,"; 8960 L Street, Suite 200; 
        ; Omaha, NE 68127; 
        ; Phone: 402-331-3103; 
        ; Fax: 402-331-2007;",,"; Kevin Wetuski; 
        ; kevinw@electriciansjatc.org;"
IBEW LU 490 JATC,"; 48 Airport Road; 
        ; Concord, NH 03301; 
        ; Phone: 603-224-4239; 
        ; Fax: 603-224-0247;",,"; Jonathan Webb; 
        ; training.director@ibew490.org;"
Asbury Park Area Elec. JATC,"; P.O. Box 1256, 3301 Highway 138; 
        ; Wall, NJ 07719; 
        ; Phone: 732-280-7703; 
        ; Fax: 732-280-7704;",,"; Todd J. Larsen; 
        ; trainingdirector@local400jatc.com;"
IBEW Local 351 JATC,"; 1125 Black Horse Pike; 
        ; Folsom, NJ 08037; 
        ; Phone: 609-561-8515; 
        ; Fax: 609-561-8345;",,"; Louis Jiacopello; 
        ; ljiacopello@351jatc.org;"
Jersey City Electrical JATC,"; 65 West Century; 
        ; Paramus, NJ 07652; 
        ; Phone: 201-265-7273; 
        ; Fax: 201-265-7393;",,"; Warren M. Becker; 
        ; warrenb@jatc164.org;"
IBEW LU 456 JATC,"; 1295 Livingston Avenue; 
        ; North Brunswick, NJ 08902; 
        ; Phone: 732-246-2122; 
        ; Fax: 732-246-8076;",,"; Michael  McLaughlin; 
        ; mgm456@oponline.net;"
Paterson Elec. JATC,"; 50 Parsippany Road; 
        ; Parsippany, NJ 07054; 
        ; Phone: 973-428-2848; 
        ; Fax: 973-428-2939;",,"; Paul Fiore; 
        ; paul@ibew102.org;"
IBEW Local Union 269 JATC,"; 676 Whitehead Road; 
        ; Trenton, NJ 08648; 
        ; Phone: 609-394-1337; 
        ; Fax: 609-394-6990;",,"; Jayson Maksymovich; 
        ; jaysonm@ibew269.com;"
NM JATC for the Electrical Industry,"; 4501 Montbel Loop NE; 
        ; Albuquerque, NM 87107; 
        ; Phone: 505-341-4444; 
        ; Fax: 505-341-0067;",,"; Bobby Getts; 
        ; director@nmjatc.org;"
Electrical JATC for Southern Nevada,"; 620 Leigon Way; 
        ; Las Vegas, NV 89110; 
        ; Phone: 702-459-7949; 
        ; Fax: 702-459-8804; 
    ; Website: ; http://www.earnwhileyoulearn.org;",http://www.earnwhileyoulearn.org,"; Doug Ziegenhagen; 
        ; dougz@earnwhileyoulearn.org;"
Northern Nevada Electrical JATC,"; 4635 Longley Lane, Suite 108; 
        ; Reno, NV 89502; 
        ; Phone: 775-358-4301; 
        ; Fax: 775-358-4299; 
    ; Website: ; https://www.northernnevadaelectricians.com;",https://www.northernnevadaelectricians.com,"; Alan  Darney; 
        ; adarney@401jatc.org;"
Local 325 JATC,"; 142 Corporate Drive; 
        ; Binghamton, NY 13904; 
        ; Phone: 607-729-6171; 
        ; Fax: 607-799-4101;",,"; Amy Snell; 
        ; training@ibew325.net;"
Local Union 41 IBEW,"; S-3546 California Road; 
        ; Orchard Park, NY 14127; 
        ; Phone: 716-662-6111; 
        ; Fax: 716-662-0922; 
    ; Website: ; http://www.ibewlocal41.com;",http://www.ibewlocal41.com,"; Matt Hilmey; 
        ; mhilmey@ibewlocal41.com;"
IBEW Local 139 JATC,"; 508 College Avenue; 
        ; Elmira, NY 14901; 
        ; Phone: 607-732-1237; 
        ; Fax: 607-737-0236; 
    ; Website: ; https://ibew139.com;",https://ibew139.com,"; Jon Mazzaraco; 
        ; trainingdirector@ibewlocal139.org;"
Local 840 JATC,"; P.O. Box 851; 
        ; Geneva, NY 14456; 
        ; Phone: 315-789-3350; 
        ; Fax: 315-789-1309;",,"; Nathan Stockton; 
        ; natestockton840@gmail.com;"
Ithaca NY JATC,"; 134 Cecil A. Malone Drive; 
        ; Ithaca, NY 14850; 
        ; Phone: 607-273-1069; 
        ; Fax: 607-277-5623;",,"; Timothy John Schultz; 
        ; trainingdirector@ithacajatc.com;"
IBEW Local 106 JATC,"; 322 James Avenue; 
        ; Jamestown, NY 14701; 
        ; Phone: 716-484-9449; 
        ; Fax: 716-484-9339;",,"; Kent Joesel; 
        ; business.manager@ibew106.org;"
Nassau & Suffolk Counties JATC,"; 370 Motor Parkway; 
        ; Hauppauge, NY 11788; 
        ; Phone: 631-434-3939; 
        ; Fax: 631-434-3991;",,"; Christopher E.  Kelly; 
        ; ckelly@lijatc.org;"
IBEW LU 363 and Hudson Valley NECA JATC,"; 67 Commerce Drive South; 
        ; Harriman, NY 10926; 
        ; Phone: 845-783-3600; 
        ; Fax: 845-783-3655;",,"; William A. Edwards; 
        ; wedwards@ibewlu363.org;"
JAC Joint Industry Board of Electric Industries,"; 158-11 Harry Van Arsdale Jr. Drive; 
        ; Flushing, NY 11365; 
        ; Phone: 718-591-2000; 
        ; Fax: 718-380-5473;",,"; George K.  Schuck; 
        ; georges@jibei.com;"
Local 3 Lighting and Maintenance Association,"; 158-11 Harry Van Arsdale, Room 402; 
        ; Flushing, NY 11365; 
        ; Phone:  ; 
        ; Fax:  ;",,"; Pedro Martinez; 
        ; pmartinezlcl3@gmail.com;"
Niagara County JATC,"; 6700 Schultz St; 
        ; Niagara Falls, NY 14304; 
        ; Phone: 716-297-3650; 
        ; Fax: 716-297-8471;",,"; null null; 
        ; null;"
Rochester Joint Apprentice & Training Co.,"; 470 W. Metro Park, Suite B; 
        ; Rochester, NY 14623; 
        ; Phone: 585-235-5050; 
        ; Fax: 585-235-2989;",,"; Clayton Beeman; 
        ; cbeeman@rochesterjatc.org;"
Central New York Electrical Training Alliance,"; 4566 Waterhouse Road; 
        ; Clay, NY 13041; 
        ; Phone: 315-546-0221; 
        ; Fax: 315-546-0231;",,"; Raymond Tucker; 
        ; rtucker@cnyeta.org;"
Tri-City JATC LU 236,"; 428 Old Niskayuna Road; 
        ; Latham, NY 12110; 
        ; Phone: 518-785-5167; 
        ; Fax: 518-786-3588;",,"; William Bulger; 
        ; billb@tricityjatc.org;"
EJATC of Watertown,"; 25001 Water Street; 
        ; Watertown, NY 13601; 
        ; Phone: 315-782-5630; 
        ; Fax: 315-788-5701; 
    ; Website: ; http://www.ibew910.org/ejatc;",http://www.ibew910.org/ejatc,"; Alan Smith; 
        ; asmith@ibew910.org;"
Westchester Fairfield JEATC,"; 200 Bloomingdale Road; 
        ; White Plains, NY 10605; 
        ; Phone: 914-946-0472; 
        ; Fax: 914-683-1892;",,"; Dan Mecca; 
        ; dmecca@jibei.com;"
Akron Area Electrical JATC,"; 2650 S. Main Street #100; 
        ; Akron, OH 44319; 
        ; Phone: 330-644-4286; 
        ; Fax: 330-644-5625;",,"; Matthew J. Capozzi; 
        ; mattc@akronejatc.org;"
Canton Electrical JATC,"; 3855 Wales Avenue, NW; 
        ; Massillon, OH 44646; 
        ; Phone: 330-830-6446; 
        ; Fax: 330-830-6453; 
    ; Website: ; http://www.cantonjatc.org;",http://www.cantonjatc.org,"; Damus Cole; 
        ; dcole@cantonjatc.org;"
Cincinnati Ohio Area,"; 5455 Glenway Ave; 
        ; Cincinnati, OH 45238; 
        ; Phone: 513-281-6924; 
        ; Fax: 513-281-6934;",,"; Charlie Kenser; 
        ; ckenser@electricaltc.org;"
Cleveland Electrical JATC,"; 9050 Sweet Valley Drive; 
        ; Valley View, OH 44125; 
        ; Phone: 216-573-0400; 
        ; Fax: 216-573-0403; 
    ; Website: ; http://www.cejatc.org;",http://www.cejatc.org,"; Angelo Angersola; 
        ; angelo@cejatc.org;"
The Electrical Trades Center,"; 947 Goodale Blvd.; 
        ; Columbus, OH 43212; 
        ; Phone: 614-463-5282; 
        ; Fax: 614-463-5252;",,"; Trenten Parker; 
        ; trent@etcjatc.org;"
Dayton Ohio Area Electrical JATC,"; 6550 Poe Avenue; 
        ; Dayton, OH 45414; 
        ; Phone: 937-264-2052; 
        ; Fax: 937-264-2053; 
    ; Website: ; http://www.82JATC.com;",http://www.82JATC.com,"; Anthony Henderson; 
        ; anthony@dejatc.org;"
Butler Warren County Electrical JATC,"; 4300 Millikin Road; 
        ; Hamilton, OH 45011; 
        ; Phone: 513-863-6115; 
        ; Fax: 513-863-0780;",,"; Randy Truster; 
        ; randy@hamiltonohiojatc.org;"
Lima Area Electrical JATC,"; 2285 N. Cole Street; 
        ; Lima, OH 45801; 
        ; Phone: 419-229-2775; 
        ; Fax: 567-371-3478;",,"; Marc Pescosolido; 
        ; marc@limajatc.com;"
Lorain County Electrical JATC,"; 2235 West Park Drive Suite A; 
        ; Lorain, OH 44053; 
        ; Phone: 440-233-7156 ext. 624; 
        ; Fax: 440-233-4221;",,"; Andy Kasubienski; 
        ; jatc@ibew129.org;"
Mansfield Area JATC for Electricians,"; 67 S. Walnut Street; 
        ; Mansfield, OH 44902; 
        ; Phone: 419-526-4688; 
        ; Fax: 419-522-0705;",,"; Tory Gorka; 
        ; jatc2@ibew688.org;"
Marietta Electrical JATC,"; 27754 St Rt 7; 
        ; Marietta, OH 45750; 
        ; Phone: 740-373-5054; 
        ; Fax: 740-373-7501;",,"; Jarid Bates; 
        ; tdmejatc@ibew972.org;"
Newark Joint Apprenticeship Training Committee,"; 450 South 22nd Street; 
        ; Heath, OH 43056; 
        ; Phone: 740-452-5348; 
        ; Fax: 740-452-2062;",,"; Rebecca Jonard; 
        ; r.jonard@newarkohiojatc.org;"
Mentor Electrical JATC,"; 8376 Munson Road; 
        ; Mentor, OH 44060; 
        ; Phone: 440-255-3028; 
        ; Fax: 440-255-3038;",,"; Paul Rehbergar; 
        ; jatc@ibew673.org;"
Electrical Training Academy,"; 24 Gingersnap Road; 
        ; Portsmouth, OH 45662; 
        ; Phone: 740-529-1487; 
        ; Fax: 740-529-1487; 
    ; Website: ; http://www.electricaltrainingacademy.org;",http://www.electricaltrainingacademy.org,"; Matt Louanglath; 
        ; ml@electricaltrainingacademy.org;"
Steubenville JATC,"; 626 North 4th Street; 
        ; Steubenville, OH 43952; 
        ; Phone: 740-282-7572; 
        ; Fax: 740-282-4425; 
    ; Website: ; http://www.sejatc.org;",http://www.sejatc.org,"; Richard Cesta; 
        ; rcesta@sejatc.org;"
Toledo Electrical JATC,"; 803 Lime City Road; 
        ; Rossford, OH 43460; 
        ; Phone: 419-666-8088; 
        ; Fax: 419-666-0336;",,"; Glenn Rettig; 
        ; grettig@tejatc.org;"
Warren JATC,"; 4550 Research Parkway; 
        ; Warren, OH 44483; 
        ; Phone: 330-394-3690; 
        ; Fax: 330-399-3225;",,"; Eric S.  Davis; 
        ; ericd@warrenjatc.org;"
Youngstown Elec. JATC,"; 350 E. Western Reserve Road; 
        ; Youngstown, OH 44514; 
        ; Phone: 330-965-0578; 
        ; Fax: 330-965-0582; 
    ; Website: ; http://www.yjatc.org;",http://www.yjatc.org,"; Ahren Peplow; 
        ; a.peplow@yjatc.org;"
American Line Builders,"; P.O. Box 370; 
        ; Medway, OH 45341; 
        ; Phone: 937-849-4177; 
        ; Fax: 937-849-0592; 
    ; Website: ; https://albat.org;",https://albat.org,"; Ben Hobbs; 
        ; bhobbs@albat.org;"
Western Oklahoma Electrical JATC,"; 1700 SE 15th St; 
        ; Oklahoma City, OK 73129; 
        ; Phone: 405-672-7600; 
        ; Fax: 405-672-7631; 
    ; Website: ; https://etawok.org ;",https://etawok.org,"; Clifford W. Stewart; 
        ; cstewart@etawok.org;"
Ponca City Electrical JATC Trust,"; 615 West Grand Ave; 
        ; Ponca City, OK 74601; 
        ; Phone: 580-762-4441; 
        ; Fax: 405-848-8623;",,"; Mike Leonard; 
        ; ibew444@sbcglobal.net;"
Tulsa Electricians JATC,"; 1120 N. Iroquois Ave; 
        ; Tulsa, OK 74106; 
        ; Phone: 918-592-2929; 
        ; Fax: 918-592-2930; 
    ; Website: ; http://www.tulsajatc.org;",http://www.tulsajatc.org,"; Ted Jenkins; 
        ; ted.j@tulsajatc.org;"
Pacific Inside Electrical JATC,"; 3427 Ash Street; 
        ; North Bend, OR 97459; 
        ; Phone: 541-756-6997; 
        ; Fax: 541-756-5612; 
    ; Website: ; http://www.pacificjatc.com;",http://www.pacificjatc.com,"; Niq Brening; 
        ; pacificjatc@frontier.com;"
Crater Lake Electrical JATC,"; 4864 Airway Drive; 
        ; Central Point, OR 97502; 
        ; Phone: 541-773-5888; 
        ; Fax: 541-773-5811;",,"; Matt Holte; 
        ; matt@clejatc.org;"
NECA IBEW Electrical JATC,"; 16021 NE Airport Way; 
        ; Portland, OR 97230; 
        ; Phone: 503-262-9991; 
        ; Fax: 503-262-9920;",,"; Marshall McGrady; 
        ; mmcgrady@nietc.org;"
